Date,Open,High,Low,Close,Volume
2023-01-03,2.1,2.15,1.96,2.01,1764361
2023-01-04,2.03,2.23,1.98,2.19,3258441
2023-01-05,2.18,2.19,2.04,2.16,2287568
2023-01-06,2.13,2.155,2.0,2.1,2329523
2023-01-09,2.2,2.3999,2.19,2.21,4640036
2023-01-10,2.18,2.47,2.1,2.45,3825567
2023-01-11,2.43,2.5399,2.345,2.4,3026489
2023-01-12,2.49,2.74,2.36,2.67,6195996
2023-01-13,2.54,2.805,2.47,2.58,4806675
2023-01-17,2.845,3.03,2.63,2.72,6357983
2023-01-18,2.79,2.89,2.52,2.53,4017817
2023-01-19,2.535,2.63,2.42,2.49,4313513
2023-01-20,2.54,2.67,2.47,2.64,4531114
2023-01-23,2.74,2.9099,2.6603,2.83,5143759
2023-01-24,2.8,2.95,2.74,2.8,3290702
2023-01-25,2.693,2.82,2.58,2.8,4479913
2023-01-26,2.91,2.961,2.692,2.85,4590223
2023-01-27,2.78,2.9578,2.775,2.92,4073062
2023-01-30,2.88,3.1467,2.78,2.8,4258969
2023-01-31,2.87,3.19,2.81,3.17,7690354
2023-02-01,3.11,3.33,2.92,3.24,5052622
2023-02-02,3.41,3.72,3.35,3.64,6368462
2023-02-03,3.42,3.841,3.36,3.51,5460966
2023-02-06,3.45,3.57,3.3501,3.48,4178436
2023-02-07,3.5,3.56,3.28,3.54,4357776
2023-02-08,3.53,3.67,3.35,3.42,3441265
2023-02-09,3.52,3.52,3.18,3.24,4852661
2023-02-10,3.16,3.18,2.85,2.955,3580482
2023-02-13,2.96,2.97,2.84,2.94,2178011
2023-02-14,2.9,3.29,2.83,3.28,3891656
2023-02-15,3.28,3.61,3.23,3.56,6415457
2023-02-16,3.46,3.68,3.345,3.39,6799437
2023-02-17,3.33,3.45,3.25,3.38,3889545
2023-02-21,3.31,3.3992,3.11,3.12,3789948
2023-02-22,3.1,3.145,2.94,2.97,3895496
2023-02-23,3.04,3.05,2.93,2.94,2784014
2023-02-24,2.86,2.9064,2.73,2.75,3479378
2023-02-27,2.83,2.9,2.78,2.8,2644695
2023-02-28,2.802,2.93,2.76,2.76,2970792
2023-03-01,2.85,2.855,2.56,2.58,3132673
2023-03-02,2.51,2.59,2.445,2.54,4193612
2023-03-03,2.48,2.6,2.45,2.55,2890219
2023-03-06,2.6,2.6799,2.46,2.47,3242398
2023-03-07,2.48,2.485,2.35,2.38,2912675
2023-03-08,2.37,2.435,2.32,2.38,2141212
