Date,Open,High,Low,Close,Volume
2024-11-14,20.95,20.95,20.62,20.6402,3288
2024-11-15,19.49,19.49,19.37,19.4888,299
2024-11-18,19.47,19.969,19.47,19.9078,1694
2024-11-19,19.65,20.03,19.65,19.9973,1336
2024-11-20,20.05,20.232,19.52,20.2099,4202
2024-11-21,21.199,22.1837,21.17,22.0588,5020
2024-11-22,21.99,22.1392,21.831,21.9579,3648
2024-11-25,22.44,23.3611,22.44,22.7482,5486
2024-11-26,21.45,21.5152,20.98,21.5152,3111
2024-11-27,20.8,20.8,19.67,20.0402,5272
2024-11-29,19.805,19.9036,19.75,19.9036,1042
2024-12-02,20.05,20.5154,19.9,20.1486,4063
2024-12-03,21.19,21.8301,20.6705,20.6705,11683
2024-12-04,20.9858,22.13,20.98,22.0925,2986
2024-12-05,22.38,22.449,21.0015,21.0721,12591
2024-12-06,21.29,21.4795,20.67,21.1663,8119
2024-12-09,21.5898,22.249,21.48,21.8491,5466
2024-12-10,22.15,22.15,19.59,19.8374,13102
2024-12-11,20.46,21.5,20.26,21.4345,17804
2024-12-12,21.29,21.29,19.6538,19.8731,23005
2024-12-13,20.5,21.6986,20.5,21.5,35948
2024-12-16,22.9,25.02,22.41,23.92,139367
2024-12-17,24.71,24.8447,23.621,24.0675,50819
2024-12-18,24.63,25.5,21.67,21.87,157349
2024-12-19,16.08,16.21,13.68,14.71,350508
2024-12-20,14.02,15.7,13.6101,15.6749,130727
2024-12-23,15.7,15.93,15.146381,15.61,45592
2024-12-24,15.57,15.57,15.09,15.45,33567
2024-12-26,15.22,15.88,15.105,15.6474,48696
2024-12-27,15.24,15.32,14.9,15.15,27891
2024-12-30,14.3,14.54,13.84,14.0958,43615
2024-12-31,14.14,14.4,13.66,13.6728,50223
2025-01-02,13.97,14.685,13.97,14.685,25206
2025-01-03,14.85,15.635269,14.8,15.5438,51448
2025-01-06,17.46,19.5,17.46,18.81,68932
2025-01-07,20.33,21.59,19.525,19.8,139918
2025-01-08,20.3323,20.34,18.46,18.81,44602
2025-01-10,18.22,19.11,17.868,18.79,39168
2025-01-13,17.3737,17.3737,16.23,17.17,26551
2025-01-14,17.55,17.95,17.24,17.94,51059
2025-01-15,18.79,20.32,18.79,20.11,33414
2025-01-16,20.56,20.67,19.59,19.9126,19150
2025-01-17,20.08,21.08,20.0,21.0,25827
2025-01-21,20.89,22.715,20.89,22.45,29890
2025-01-22,22.47,22.7361,21.83,22.37,21692
2025-01-23,20.67,21.101,20.0,20.56,40250
