Date,Open,High,Low,Close,Volume
2023-01-03,8.54352,8.68774,7.93186,8.14378,373603392
2023-01-04,8.34365,8.42311,7.96557,8.26901,451906726
2023-01-05,8.09563,8.1149,7.84037,7.8789,376357057
2023-01-06,8.01856,8.62058,7.75367,8.49535,484737603
2023-01-09,8.70725,9.13107,8.61579,8.67353,386260439
2023-01-10,8.57963,8.90471,8.52424,8.90471,341285016
2023-01-11,8.9986,9.35981,8.91915,9.34778,314111816
2023-01-12,9.39835,9.59339,8.95287,9.49226,583323621
2023-01-13,9.23219,9.71374,9.19847,9.68007,331778234
2023-01-17,9.66081,9.87749,9.54043,9.73301,290197517
2023-01-18,9.90884,10.0677,9.33815,9.37187,387565737
2023-01-19,9.18405,9.29962,8.94807,9.07808,345457123
2023-01-20,9.2346,9.84864,9.13112,9.81967,334980479
2023-01-23,9.89684,10.5951,9.81487,10.4651,402914718
2023-01-24,10.2868,10.5312,10.2291,10.4024,301095700
2023-01-25,9.90161,10.3976,9.6223,10.3253,452835160
2023-01-26,10.7012,10.9418,10.4024,10.9228,422385023
2023-01-27,10.7685,11.4718,10.7541,11.2357,391222444
2023-01-30,10.8598,11.0286,10.523,10.5614,361107697
2023-01-31,10.5663,11.0383,10.547,11.0335,328609380
2023-02-01,11.0093,12.0158,10.7685,11.7462,564038920
2023-02-02,12.4999,13.2198,12.4011,12.9597,556244557
2023-02-03,12.141,13.0704,12.0929,12.2903,555246056
2023-02-06,11.9653,12.2565,11.8088,11.9774,335999975
2023-02-07,11.9579,12.8537,11.8188,12.719,539652955
2023-02-08,12.5456,12.6661,11.9484,12.0351,376367817
2023-02-09,12.5456,12.5647,11.5246,11.7124,410299207
2023-02-10,11.4428,11.6836,11.1825,11.4718,381921185
2023-02-13,11.6256,12.0882,11.4859,12.0158,290429913
2023-02-14,11.8158,12.3962,11.5823,12.276,531020305
2023-02-15,12.0495,12.5696,11.9677,12.5503,287902404
2023-02-16,11.9579,12.4589,11.8136,11.8329,403858287
2023-02-17,11.5728,11.6692,11.2212,11.5776,404701168
2023-02-21,11.1247,11.2934,10.7348,10.7637,312437780
2023-02-22,10.8118,11.0046,10.5855,10.7733,347467136
2023-02-23,11.1659,11.1875,10.571,11.0428,373279678
2023-02-24,10.4747,10.6096,10.282,10.4844,358769268
2023-02-27,10.8263,10.9803,10.6431,10.7106,288113685
2023-02-28,10.6337,10.9418,10.5951,10.6577,264362249
2023-03-01,10.6241,10.6964,10.2917,10.3976,320573506
2023-03-02,10.1183,10.7397,10.0895,10.648,331173822
2023-03-03,10.836,11.3319,10.7805,11.2982,314945802
2023-03-06,11.4428,11.7895,11.3175,11.3464,315305595
2023-03-07,11.3441,11.4524,10.8462,10.9228,366139920
2023-03-08,10.9564,11.1442,10.7541,11.0719,302105634
2023-03-09,11.1297,11.4187,10.3976,10.4893,408711264
2023-03-10,10.5084,10.6723,9.93042,10.0559,653779730
2023-03-13,9.85827,10.6675,9.6945,10.2726,684268190
2023-03-14,10.6528,11.0335,10.5566,10.9707,450923543
2023-03-15,10.6769,11.1825,10.5133,11.1297,570103392
2023-03-16,11.0189,12.0545,10.9418,12.011,475536465
2023-03-17,12.0061,12.2855,11.6066,11.8329,418961806
2023-03-20,11.7654,11.9992,11.5053,11.9579,340903995
2023-03-21,12.1893,12.5216,12.0061,12.4635,280619381
2023-03-22,12.4541,13.0594,11.9405,11.9549,491160666
2023-03-23,12.3982,12.8899,12.0519,12.3813,405650839
2023-03-24,12.3231,12.5169,12.0325,12.5072,350526011
2023-03-27,12.5873,12.7204,12.139,12.2506,282402240
2023-03-28,12.1754,12.1778,11.7661,12.047,243643281
2023-03-29,12.4782,12.7736,12.3861,12.7056,246418949
2023-03-30,12.9917,13.1224,12.8319,13.0498,268682994
2023-03-31,13.0789,13.7181,13.0352,13.689,262225740
2023-04-03,13.4082,13.6213,13.2388,13.5923,258291497
2023-04-04,13.6408,13.7717,13.2823,13.4567,239658264
2023-04-05,13.3065,13.3307,12.793,13.0258,266591899
2023-04-06,12.8172,13.3501,12.6475,13.2869,249711752
2023-04-10,12.9044,13.2628,12.6766,13.258,244692131
2023-04-11,13.2532,13.258,12.9335,13.0013,215237133
2023-04-12,13.2434,13.316,12.5943,12.6574,359247360
2023-04-13,12.851,13.4373,12.8319,13.3839,255494662
2023-04-14,13.178,13.5292,12.9311,13.3065,294521411
2023-04-17,13.2483,13.3791,12.9868,13.321,235980539
2023-04-18,13.5969,13.6504,13.1756,13.3307,219684150
2023-04-19,13.0159,13.4373,13.0013,13.3017,198029323
2023-04-20,12.9191,13.3598,12.822,12.9917,282509608
2023-04-21,12.9335,13.1224,12.7156,13.0159,236259523
2023-04-24,12.9868,13.1611,12.6623,12.9383,222224298
2023-04-25,12.73,12.8123,12.1923,12.2069,285483330
2023-04-26,12.6041,12.7833,12.357,12.4103,257767085
2023-04-27,12.8657,13.4808,12.7833,13.4131,263863976
2023-04-28,13.3888,13.699,13.2388,13.6842,269480055
2023-05-01,13.631,13.8198,13.5002,13.6455,183735165
2023-05-02,13.631,13.6699,13.0594,13.2823,257341251
2023-05-03,13.321,13.6601,12.9965,13.0208,351225999
2023-05-04,12.9722,13.1175,12.7318,12.8753,250435413
2023-05-05,13.137,13.7859,13.0951,13.665,201902746
2023-05-08,13.6116,13.8248,13.4759,13.7763,156355308
2023-05-09,13.556,13.6699,13.4686,13.5098,133857915
2023-05-10,13.815,14.0574,13.5002,13.9461,312863441
2023-05-11,14.0016,14.1396,13.8006,14.0621,200952746
2023-05-12,14.1348,14.193,13.6455,13.9169,217551139
2023-05-15,13.9751,14.1687,13.7717,14.13,178504710
2023-05-16,14.0379,14.4061,14.0282,14.1833,164458108
2023-05-17,14.3139,14.7644,14.1591,14.6919,208721495
2023-05-18,14.7259,15.5203,14.7235,15.4813,280623240
2023-05-19,15.5153,15.617,15.2344,15.3748,204436955
2023-05-22,15.3457,15.6751,15.341,15.5346,171990930
2023-05-23,15.2877,15.4499,14.8856,14.9341,219477763
2023-05-24,14.6628,14.8711,14.4205,14.6919,243543774
2023-05-25,15.6751,15.9222,15.3457,15.7527,270176674
2023-05-26,15.8931,17.0751,15.8835,16.9443,260925510
2023-05-30,17.5885,17.763,16.9734,17.1817,279327940
2023-05-31,16.9394,17.2373,16.6634,16.8329,217061370
2023-06-01,16.8279,17.6468,16.6683,17.4434,223740011
2023-06-02,17.7097,18.0147,17.4434,17.8355,223478196
2023-06-05,17.8063,18.2619,17.7097,17.8742,212904611
2023-06-06,17.7726,18.0004,17.5643,17.8551,164646083
2023-06-07,17.8936,18.194,16.8426,16.9443,235843904
2023-06-08,16.9637,17.6226,16.9297,17.5256,194213456
2023-06-09,17.7677,18.2208,17.5329,17.7387,214640943
2023-06-12,17.9954,18.6543,17.8453,18.6445,160978399
2023-06-13,19.0708,19.1967,18.5621,19.061,275118126
2023-06-14,19.061,19.5213,18.6107,19.4681,315145688
2023-06-15,19.2502,20.3883,19.1387,20.1511,264114517
2023-06-16,20.5433,20.5579,19.6908,19.7636,232050520
2023-06-20,19.5165,19.8991,19.1822,19.6666,173668328
2023-06-21,19.4759,19.544,18.7082,18.8782,205037774
2023-06-22,18.645,19.5294,18.5816,19.5051,216287021
2023-06-23,18.8686,19.2962,18.6499,18.9268,231673260
2023-06-26,19.024,19.2767,18.1444,18.1785,223181882
2023-06-27,18.39,19.1941,18.2709,19.0775,201011846
2023-06-28,18.7907,19.5051,18.7726,19.1941,223647461
2023-06-29,19.1259,19.2235,18.7907,19.0628,204008611
2023-06-30,19.6314,20.0931,19.5781,19.9229,189646691
2023-07-03,20.0202,20.1612,19.8453,20.059,82181181
2023-07-05,19.7869,20.3313,19.782,20.0445,143033257
2023-07-06,19.4226,19.6411,19.092,19.5731,175410553
2023-07-07,19.5294,20.047,19.3302,19.3738,173508532
2023-07-10,19.3205,19.4905,18.9171,19.3885,176995453
2023-07-11,19.4467,19.7359,19.0968,19.6654,167184364
2023-07-12,20.3263,20.6227,19.996,20.3943,237006256
2023-07-13,20.9045,21.5556,20.8122,21.4101,169545382
2023-07-14,21.4877,22.0415,21.2447,21.3904,191444859
2023-07-17,21.5169,22.1416,21.4342,21.9833,149739944
2023-07-18,21.874,22.7612,21.5314,22.5079,202328530
